AgentID,Wealth,Talent,luckyEvents,unluckyEvents,startingCapital
1,4154.784262048572,0.6058800424524626,3.0,2.0,2077.392131024286
2,95.49043655192557,0.6076250204583107,2.0,6.0,1527.846984830809
3,747.1247372499771,0.6858917478241519,3.0,4.0,1494.2494744999542
4,299.4600307924542,0.4725111721151853,3.0,6.0,2395.6802463396334
5,10366.32707599974,0.6807952327000033,3.0,1.0,2591.581768999935
6,794.9489897367681,0.351206145160906,1.0,2.0,1589.8979794735362
7,58.24398544196974,0.5248180436063313,0.0,5.0,1863.8075341430317
8,346.09710313515177,0.5012578701974731,3.0,6.0,2768.776825081214
9,624.4851291374663,0.4898512693414644,3.0,5.0,2497.940516549865
10,155.7052315262291,0.6308578164176377,3.0,7.0,2491.283704419666
11,782.1692088305932,0.7422001103429138,3.0,4.0,1564.3384176611864
12,243.48686689927382,0.5594725964218015,2.0,5.0,1947.8949351941906
13,41.638880699153304,0.6690557442562036,1.0,6.0,1332.4441823729057
14,63.82317629716114,0.4116706437375037,1.0,6.0,2042.3416415091565
15,308.1586399066054,0.485638594484708,2.0,5.0,2465.269119252843
16,929.8239807658088,0.5132581969363929,4.0,5.0,1859.6479615316175
17,1259.5292678273279,0.5797260225084087,3.0,4.0,2519.0585356546558
18,81.40360949057572,0.49015511363383163,2.0,7.0,2604.915503698423
19,134.71743398567753,0.7002758310272645,4.0,8.0,2155.4789437708405
20,300.70634789692645,0.680035784556053,1.0,4.0,2405.6507831754116
21,1007.5587804974841,0.6246086755045454,3.0,4.0,2015.1175609949682
22,14620.48826273903,0.4579801693258434,5.0,2.0,1827.5610328423788
23,1911.3141955483518,0.6129171848111804,3.0,3.0,1911.3141955483518
24,53.87565874674694,0.5766163827172985,2.0,7.0,1724.0210798959022
25,1078.18724455768,0.6539132519516292,3.0,4.0,2156.37448911536
26,1870.2639568531831,0.6167675316095295,3.0,3.0,1870.2639568531831
27,5320.194835283967,0.6624155698233447,6.0,4.0,1330.0487088209918
28,2444.2237387722153,0.7066082001019228,3.0,2.0,1222.1118693861076
29,632.173578641759,0.5863237761391348,2.0,4.0,2528.694314567036
30,201.91403914848274,0.6680676532082434,2.0,6.0,3230.624626375724
31,109.52816592587384,0.7305423070545614,3.0,7.0,1752.4506548139814
32,64.88503766567689,0.6242180286788984,2.0,7.0,2076.3212053016605
33,783.9558237836629,0.7100236624587712,1.0,2.0,1567.9116475673259
34,2047.251116387285,0.48693056303642623,6.0,6.0,2047.251116387285
35,285.3824432039387,0.7148018569607044,4.0,7.0,2283.0595456315095
36,42.60671288607321,0.5761482284884684,1.0,6.0,1363.4148123543428
37,16.53871689798244,0.6204198227573756,1.0,8.0,2116.9557629417523
38,2170.2081985073264,0.7413134486527778,3.0,3.0,2170.2081985073264
39,2232.3740166537964,0.8297774807959878,4.0,4.0,2232.3740166537964
40,251.20755715012507,0.679538049311408,3.0,6.0,2009.6604572010006
41,22.75770912522113,0.6212574675067469,0.0,7.0,2912.9867680283046
42,772.7962923933388,0.6508687906213866,3.0,4.0,1545.5925847866777
43,138.6705182596045,0.6043527071456937,3.0,7.0,2218.728292153672
44,1823.4297441215094,0.6056431237708734,3.0,3.0,1823.4297441215094
45,9461.150051778304,0.4700548973822086,3.0,1.0,2365.287512944576
46,267.173616589821,0.5486738151543759,1.0,4.0,2137.388932718568
47,2366.4680245879035,0.6752599196899784,4.0,4.0,2366.4680245879035
48,1900.6159507398204,0.8134432342558043,3.0,3.0,1900.6159507398204
49,236.46851755691426,0.5281506270472327,0.0,3.0,1891.7481404553141
50,907.9984661787668,0.516226243736539,1.0,2.0,1815.9969323575335
51,492.20621590020755,0.566600242764246,2.0,4.0,1968.8248636008302
52,130.31979785134715,0.6095247012350115,0.0,4.0,2085.1167656215544
53,138697.6369592393,0.9297009832031331,7.0,1.0,2167.150577488114
54,161.16412515080893,0.5764666726250991,1.0,5.0,2578.626002412943
55,2940.5875470314145,0.6648883163090399,5.0,5.0,2940.5875470314145
56,16999.49528224537,0.6393552820195804,4.0,1.0,2124.9369102806713
57,9033.26852337235,0.5824270152645079,6.0,4.0,2258.3171308430874
58,1044.1147619291446,0.6342744488645162,1.0,1.0,1044.1147619291446
59,2242.6641630595614,0.5629423467841548,5.0,5.0,2242.6641630595614
60,77.53797195935176,0.6567097762882979,1.0,6.0,2481.2151026992565
61,825.5004416790856,0.5177361898164288,2.0,3.0,1651.0008833581712
62,13.783948781383865,0.5563407227171587,1.0,8.0,1764.3454440171347
63,4598.406997595034,0.6249054547571701,2.0,1.0,2299.203498797517
64,38.24630421261048,0.5399454634525942,0.0,6.0,2447.763469607071
65,622.6037605069397,0.5002417848822087,2.0,4.0,2490.415042027759
66,777.26192250793,0.5902294441686953,0.0,2.0,3109.04769003172
67,15107.88229661559,0.6799262953836482,6.0,3.0,1888.4852870769487
68,616.7913963321782,0.6683911441174479,2.0,4.0,2467.165585328713
69,460.2829290804066,0.6123894777972523,3.0,5.0,1841.1317163216263
70,529.7419221906601,0.5309639144914412,4.0,6.0,2118.9676887626406
71,166.11643634087758,0.6383631921832125,1.0,5.0,2657.8629814540413
72,2040.3112452904506,0.5433965348793417,5.0,5.0,2040.3112452904506
73,191.61145819212507,0.6218664526366773,2.0,5.0,1532.8916655370006
74,59.086857762310984,0.5405390348570318,3.0,8.0,1890.7794483939515
75,132.56569389145463,0.6128201179403273,0.0,4.0,2121.051102263274
76,704.1360985792819,0.44811673098086424,2.0,4.0,2816.5443943171276
77,31.878902824540642,0.4985757615703787,1.0,7.0,2040.249780770601
78,1089.0732271696106,0.6283057697180042,1.0,2.0,2178.1464543392212
79,315.67290856956987,0.5784157504993365,3.0,6.0,2525.383268556559
80,4424.495116809652,0.5116202929955219,4.0,2.0,1106.123779202413
81,4152.7032359174655,0.5852775687087088,4.0,3.0,2076.3516179587327
82,2643.258956009146,0.7090276087871176,3.0,3.0,2643.258956009146
83,129.4476618183707,0.6182489370720735,4.0,8.0,2071.1625890939313
84,220.88285613486283,0.6675326092097218,1.0,4.0,1767.0628490789027
85,39.46390563023007,0.635670689399574,1.0,7.0,2525.6899603347247
86,1566.0178881819793,0.5334672479332222,2.0,2.0,1566.0178881819793
87,617.9935318276255,0.4733803379705843,2.0,3.0,1235.987063655251
88,7960.333726485448,0.6839953269496614,4.0,2.0,1990.083431621362
89,1887.5034674475978,0.7397741019025791,3.0,3.0,1887.5034674475978
90,109.30705351008523,0.6043125513288626,1.0,5.0,1748.9128561613636
91,94.57359812048168,0.5621981265046109,1.0,5.0,1513.1775699277068
92,24598.996145004196,0.7207628097569437,7.0,3.0,1537.4372590627622
93,3960.2337668611885,0.684286703614373,3.0,2.0,1980.1168834305943
94,6038.361899885105,0.9215097374146521,3.0,2.0,3019.1809499425526
95,4225.714061143324,0.6275327390542451,5.0,4.0,2112.857030571662
